recipe_name,ingredients,calories,protein,fat,carbohydrates
Protein Cocoa Hazelnut Bars,"HJ ANDED SUGAB RAW Fruit & Nuts PRESSED LOGETHER Without Heat FRUITS & NOIX PRESSES, SANS COISSION [EN bates & Peanut Bars with Hazelnuts, cocoa and Natural FLAVOURINGS INGREDIENTS: Dates (38%), peanuts (35%), chicory fibre (10%), peanut flour (3%), hazelnuts (5%), fat-reduced cocoa powder (3%), natural flavourings. May contain traces of soya, other nuts and the odd shell or pit piece. FR BARRES DE Dattes & cacahuètes aux noisettes, cacao et arômes Naturels INGRÉDients: Dattes (38%), cacahuètes (35%), fibre de chicorés (10%), farine de cacahuètes (8%), noisettes (5%), cacao maigre (%) aromes naturels. Peut contenir ces traces de soja, d'autres fruits à coque et des petits morceaux de coquilles ou de noyaux. NL REPEN VAN DaDeLS & Pinda's Met Hazelnoten, cacao en natuurlike aroma's INGREDIËNTEN; Dadels (38%), pinda's (35%), cichoreivezel (10%), pindameel (3%), hazelnoten (5%), magere cacacpoeder (3%), natuurlijke aroma's Kan sporen bevatten van soja, andere noten en soms een stukje pit of schil. DE Riegel aus pattern & ERDMÜSSEN Mit Haselnüssen. Kakao UMD natÜRLICHEN AROMEN Zutaten: Datteln (38%), Erdnüsse (85%), Chicorée-Fasern (10%), Erdnussmehl (9%), Haselnüsse 15%), fettarmes Kakaopulver (3%), natürliche Aromen Kann Spuren enthalten von Soja, anderen Schalenfrüchten und gelegentlich einen Teil der Schale oder des Kerns. (ES) Barritas De Dátles y cacahuetes com avellanas, cacao y aromas Naturales INGREDientes; Dátiles (38%), cacahuetes (35%), fibra de achicoria (10%), harina de cacahuete (3%), avellanas (5%), cacao desgrasado en polvo (8%), aromas naturales. Puede contener trazas de soja, dé otros frutos de cáscara y ocasionalmente algún trozo de cáscara o grano. Barrette di batterie RACHIDI CON Nocciole, cacao e aromi maturau INGREDIENTI: Datteri (38%), arachidi (35%), fibre di cicoria (10%) farina di arachidi (8%), nocciole (5%), cacao magro in polvere (3%), aromi naturali Può contenere tracce di sola, altra frutta a guscio e qualche guscio o nocciclo. Imported by/Importé par/Geïmporteerd door/Importiert durch/Importado por/ Importato da: (EU) Lotus Bakeries Corporate NV, Gertstraat 52, BE-9371 Lembele (CH) Lotus Bakeries International und Schweiz AG. Neuhofstrasse 24, CH 6:40 Baar. Produit par/Hargestellt durch Natural Balance Foods, AL13AW, UK. nakd.unitedkingdom@catnakd.com/nakd.france@catnakd.com/ nakd.belgium@eatnakd.com/nakd.rederland@eatnakd.com/ nakd.deutschland@eatnakd.com/nakd.switzerland@eatnakd.com/ nakd.espana@catnakd.com/nakditalia@eatnakd.com NUTRITIONAL INFO / VALEURS NUTRITIONNELLES / NUTRITIONELE INFO / NÄHRWERTANGABEN / INFORMACIÓN NUTRICIONAL! INFORMAZIONI NUTRIZIONALI Energy/Energie/Energie/ Valor energético/Energia Fat/Matières grasses/Vetten/ Fett/Grasas/Grassi",421.0,16.1,21.7,32.6
Thé - Biscuits,"Farine de _blé_ 67 %,sucre, huile de palme, sirop de glucose-fructose, _lait_ écrémé en poudre, _lactosérum_ en poudre (de _lait_), arôme fleur d'oranger, fibres de _blé_, sel, poudres à lever (carbonate acide de sodium, carbonate acide d'ammonium), émulsifiant (lécithine de _soja_), arômes, colorant (E150b).",453.0,7.5,14.0,73.0
Petites Madeleines,"Farine de blé 34%, huile de colza, sucre, oeufs 14%, stabilisant : glycérol, sirop de glucose, lait frais demi-écrémé pasteurisé 5%, poudres à lever: carbonates et citrates de sodium (blé), sel, arome.
Traces éventuelles de fruits à coque, soja.",419.0,5.5,21.0,54.0
Goûter pépites de chocolat,"Farine de blé 58,5%, sucre de canne roux, pépites de chocolat 12,4% (pâte de cacao, sucre, beurre de cacao, émulsifiant: lécithines de sola), huile de colza, farine de lupin, dextrose d'origine végétale, riz, fibres d'avoine, arôme naturel, calcium, magnésium, sel de mer, avoine, protéines de lait, sirop de malt d'orge, amidon de blé, orge, vitamines B1, B5, B9, PP et E (lactose, protéines de lait), poudre à lever : carbonates d'ammonium.",459.0,7.3,16.0,67.0
Sea salt & cider vinegar chips,"Pommes de terre, huiles végétales (tournesol, colza en proportion variable), sel de mer, vinaigre de cidre en poudre, vinaigre d'alcool en poudre, arôme naturel, vinaigre de malt d'ORGE en poudre, jus de pomme concentré en poudre.

Peut contenir du LAIT.",467.0,5.8,25.0,51.0
Príncipe crema de chocolate,"Harina de _trigo_ 49%, azúcar, grasa de palma, aceite de nabina, cacao magro en polvo 4.5%, jarabe de glucosa, almidón de _trigo_, gasificantes (carbonatos de amonio, carbonatos de sodio), emulgente (lecitinas de _soja_), sal, _leche_ desnatada en polvo, permeato de suero (_leche_), aroma.",469.0,6.2,17.0,71.0
Kinder Bueno White,"white chocolate (cocoa butter, sugar, skimmed milk powder, concentrated butter, emulsifier: lecithins (soy), vanillin), sugar, palm oil, wheat flour, skimmed milk powder, whole milk powder, hazelnuts, whey powder, starch, fat reduced cocoa, sunflower oil, milk proteins, emulsifier: lecithins (soy), raising agents (ammonium hydrogen carbonate, sodium hydrogen carbonate), flavourings, salt",571.0,8.5,35.9,53.0
PROPERCHIPS Sea Salt Lentil Chips,"Lentil flour (30%), potato starch, vegetable oils (sunflower, rapeseed), corn flour, salt.",482.0,9.7,20.8,63.6
napolitain,"Farine de blé, Sucre, Huile de palme, Sirop de glucose-fructose, Œufs, Chocolat en poudre (Sucre, Poudre de cacao), Stabilisants (Glycérol, Sorbitols), Lactosérum en poudre (de Lait), Alcool, Sirop de glucose, Cacao maigre en poudre, Poudres à lever (Carbonates d'ammonium, Diphosphates, Carbonates de sodium), Huile de colza, Graisse de karité, Sel, Arômes, Amidon, Émulsifiants (E472b, E472a, Lécithines de soja, E471), Lait écrémé en poudre, colorant (E160a), Épaississant (Gomme xanthane), Beurre concentré, Correcteurs d'acidité (Citrates de sodium, Acide citrique), Conservateur (Sorbate de potassium)",424.0,4.4,20.0,57.0
Biscuits pavot citron,"Farine de blé 57,9%, huile de colza, sucre de canne roux, germe de blé 5,6%, graines de pavot bleu 5%, amidon de blé, fibre de blé, fructose, citrons déshydratés 0,9%, jus concentré de citron, magnésium, amidon de maïs, sucre, poudre à lever: carbonates de sodium, arôme naturel de citron, sel de mer, vitamines (D, B6, B9, E).",454.0,8.9,16.0,66.0
The Original Crunchy Rye Breads,"Wholegrain RYE Flour, RYE Flour, Salt",352.0,10.5,0.952,68.6
Pringles Original,"Patate disidratate,  olio di girasole,  farina di frumento, farina di mais, farina di riso, maltodestrina, emulsionante (E471), colorante (norbissina di annatto), sale. palmier.",534.0,5.9,31.0,56.0
Blueberry Muffin Myrtilles,"Dates 58%, _Cashews_ 15%, Raisins 15%, _Almonds_ 10%, Blueberries 2%, Natural Flavouring",374.0,6.57,11.1,57.1
merendina big,Merendina,402.0,4.1,19.0,55.0
Belvita Original Petit-Déjeuner miel et pépites de chocolat,"Céréales 59,7 % [céréales complètes 39,6 % (farine complète de blé 19,8 %, flocons d'avoine 10,6 %, farine complète d'orge 4,9 %, farine complète de seigle 3,3 %, farine complète d'épeautre (blé) 1 %), farine de blé 20,1 %), sucre, huile de colza, pépites de chocolat 8,5 % [sucre, pâte de cacao, huiles végétales (palme et karité en proportions variables), dextrose, beurre de cacao, émulsifiant (lécithines de soja)], miel de fleurs 5 %, sirop de glucose-fructose, minéraux (carbonate de calcium, carbonate de magnésium, fer élémentaire), poudres à lever (carbonates de sodium, diphosphates, carbonates d'ammonium), sel, émulsifiants (lécithines de soja, E472e), arôme, lait écrémé en poudre. Peut contenir oeuf, fruits à coque, sésame.",444.0,7.3,15.0,67.0
Véritable Petit Écolier Chocolat au Lait,"Petit beurre 52% Farine de blé 68%, sucre, beurre pâtissier 14%, lait écrémé en poudre, poudres à lever (carbonates d'ammonium, carbonates de sodium, diphosphates), sel, correcteur d'acidité (acide citrique).

Chocolat au lait 48% : Sucre, beurre de cacao, pâte de cacao, lait écrémé en poudre, lactosérum en poudre (de lait), beurre pâtissier, émulsifiants (lécithines de soja, E476), arôme.

Peut contenir : fruits à coque.",498.0,6.2,23.0,65.0
Belvita Petit Déjeuner Chocolat,"grains of 56,6% [wholegrain cereals (up 38,5% (wheat flour full of 19,4%, flakes d' oats is 8,5%, whole-wheat flour d' barley of 6,2%, whole meal flour of rye is 3,4%, spelt wholemeal flour ( wheat), 1%), wheat flour, 18,1%, sugar, chocolate chips, or 12,3% [sugar, cocoa mass, vegetable oils (palm, shea in varying proportions), dextrose, cocoa butter,        emulsifier (lecithins from soya ), rapeseed oil , lean cocoa powder 3%, wheat starch , baking powder (carbonate amonium, diphosphates carbonates of sodium), minerals (calcium carbonate, magnesium carbonate, elemental iron), emulsifiers (e492, lecithins, soy, e472e), salt, skimmed milk powder, flavourings,",439.0,7.9,14.0,66.0
Proper Corn Sweet & Salty,"Wholegrain corn (63%), rapeseed oil, demerara sugar, glazing agent (isomalt), sea salt. Watch out: May contain the occasional un-popped kernel. This pack contains approximately 3 servings. Typical Nutrition Per 100g Per 28g Energy 1944kJ",465.0,7.6,20.4,56.5
Edelbitter Mild 90%,"Kakaomasse, Kakaobutter, fettarmes Kakaopulver, Zucker, Emulgator: Lecithine (Soja); Vanilleextrakt.
Kann Spuren von Schalenfrüchten und Milch enthalten.",605.0,11.0,51.9,16.2
Véritable Petit Beurre Pocket,"Farine de blé, sucre, beurre, lait écrémé en poudre, sel, poudres à lever (carbonates d'ammonium, carbonates de sodium), correcteur d'acidité (acide citrique), arôme.",440.0,8.1,12.0,72.0
Natur' & Bon - Chips de lentilles saveur fines herbes,"lentil flour (38%), corn flour, rice flour, sunflower oil, corn starch, potato starch, maltodextrins, salt, sugar, onion, natural flavor, garlic, dill, chives, green pepper, parsley, acidity regulators: lactic acid and citric acid,",453.0,13.0,19.0,56.7
Chocolat noir Equateur Bio,"Pâte de cacao' (origine : Équateur), beurre de cacao', sucre, extrait de vanille'. Cacao: 85% minimum. 'issus de l'agriculture biologique. Traces éventuelles de fruits à coque, de céréales contenant du gluten et de lait.",639.0,9.0,55.3,20.6
Biscuit complet au germe de blé,"Farine complète de blé 44,8%, farine de blé 22,7%, sucre de canne roux, huile de colza, germe de blé 5,7%, fibres d'avoine, arômes naturels (extrait de malt d'orge), poudres lever (acide citrique, carbonates d'ammonium), magnésium, émulsifiant : lécithines, sel de mer, antioxydant: extrait naturel riche en tocopherols, amidon de blé, vitamines (E, D, B6, B1, B9).",440.0,9.52,14.3,65.5
Milka galette choco,"Farine de BLE 42 %, sucre, huile de palme, chocolat au LAIT du pays alpin 6% (sucre, beurre de cacao, LAIT écrémé en poudre, pâte de cacao, lactoserum en poudre (de LAIT), BEURRE pâtissier, émulsifiant (lécithines de SOJA), arome), cacao maigre en poudre 3,2 %, lactosérum en poudre (de LAIT), sirop de glucose, sel, LAIT entier en poudre, poudres à lever (carbonates d'ammonium, carbonates de sodium), arome (contient LAIT), émulsifiants (lécithines de SOJA, lécithines de tournesol)",504.0,5.7,24.0,65.0
Multigrain Crunchy Rye Breads,"rye (flour, bran), toasted seeds & grains (17%)†, salt.
† buckwheat, brown linseed, kibbled soya, sesame seeds, kibbled rye.
made with 87g of rye flour per 100g of product,",354.0,12.8,5.1,55.7
Tartines craquantes sarrasin,"SPÉCIALITÉS CÉRÉALIÈRES AU SARRASIN, ISSUES DE L'AGRICULTURE BIOLOGIQUE. 4 ingrédients et c'est tout Farine de sarrasin* 72,3g, farine de riz* 37,3g, sucre de canne* roux, sel de mer. (Quantité mise en œuvre pour 100g de produit fini. *Ingrédients issus de l'agriculture biologique.",370.0,12.0,1.7000000476837,75.0
Cocoa Orange Fruit & Nut Bars,"Dates 40%, Cashews 40%, Raisins 14%, Cocoa 5%, Orange Oil, Natural Flavouring",394.0,8.57,15.4,51.4
Excellence Noir à la Pointe de Fleur de Sel,"sucre, pâte de cacao, beurre de cacao, beurre _laitier_ concentré, émulsifiant (lécithine de _soja_), fleur de sel 0,3%.
Cacao : 47% minimum.",537.0,5.7,32.0,52.0
Cream Crackers,"Flour (_Wheat_ Flour, Calcium, Iron, Niacin, Thiamin), Vegetable Oil (Palm), Salt, Raising Agent (Sodium Bicarbonate), Yeast.",440.0,10.0,13.5,67.7
Pistaches de Californie,"_Pistaches_, sel 1,8%,
Traces éventuelles d'autres fruits à coque et d'arachides,",605.0,26.0,49.0,10.0
Organic Crisp Bread,"_Weizenvollkornmehl_ (57%), _Emmentaler_ (13%), Kürbiskerne (10%), natives Olivenöl extra (3%), _Haferflocken_, Sonnenblumenkerne (3%), Leinsaat (3%), _Sesam_ (2%), Meersalz, Hefe, _Gerstenmalzextrakt_.",442.0,18.0,18.0,47.0
Brioche Tranchée Recette Classique,"Farine de blé 54%, sucre, eau, ceufs frais 9,5%, beurre pâtissier (lait), huile de colza, levure, sel, rhum, arômes (blé), poudre de jaune d'œufs, extraits végétaux à pouvoir colorant (curcuma, paprika), extrait d'acerola. Peut contenir des traces de soja, fruits à coque et graines de sésame.",345.0,8.0,11.0,51.0
Véritable Petit Beurre 🧈,"Farine de _blé_, sucre, _beurre_, _lait_ écrémé en poudre, sel, poudres à lever (carbonates d'ammonium, carbonates de sodium), correcteur d'acidité (acide citrique), arôme (73 g de farine de blé, 21 g de sucre, 13 g de beurre et 1 g de sel sont utilisés pour 100 g de produit fini)",440.0,8.0,12.0,72.0
"Sweet & Salty Nut chocolat noir et mélange de noix, 5 barres de 30 g","Cacahuètes grillées (18,5%), avoine complète (14%), sirop de glucose, pépites de chocolat (9%) (pâte de cacao, sucre, beurre de cacao, émulsifiant (lecithines (soja)), huiles et graisses végétales (palme, tournesol, colza, karité), extrait de racine de chicorée, sucre, farine de blé, maltodextrine, farine de riz, fructose, cacao maigre en poudre, lactose (lait), morceaux d'amandes (1,3%), humectant (glycérol), sel de cuisine, émulsifiants (lécithines (soja)), beurre de cacahuète (0,75%), dextrose, arômes naturels, miel, antioxydant (extrait riche en tocopherols).",464.0,9.5,22.9,50.0
Dark Chocolate,"sugar, cocoa mass, cocoa butter, emulsifier (sunflower lecithins), vanilla extract",531.0,5.7,31.5,52.4
Wholegrain Wheat Bixies,"94% wholegrain  wheat ,  barley  malt extract, sugar, salt, niacin, iron, riboflavin, thiamin, folic acid",362.0,12.7,2.25,67.8
Granola LU,"Farine de blé 34 %, chocolat 33 % (sucre, pâte de cacao, graisses végétales (palme et karité en proportions variables), dextrose, beurre de cacao, lécithines de soja), huile de palme, sucre, poudres à lever (carbonates d'ammonium, carbonates de sodium, diphosphates), sel, colorant (carotènes), arôme, lait écrémé en poudre. Peut contenir des œufs et des fruits à coque.",503.0,5.7,26.0,60.0
Lay's Cuites au four nature,"Flocons de pommes de terre (65%),amidon,huile de tournesol,sucre,base aromatisante sel de mer (sel de mer, arômes),émulsifiant (lécithine de tournesol),colorant (norbixine de rocou)",442.0,5.9,13.0,73.0
Sour Cream & Onion®,"Kartoffelpüreepulver, Sonnenblumenöl, Weizenmehl, Maismehl, Reismehl, Sauerrahm-Zwiebel-Würzmischung (Zwiebelpulver, Weizenstärke, Maltodextrin), Mononatriumglutamat, Dinatriumguanylat, Dinatriuminosinat, Dextrose, Sonnenblumenöl, Speisesalz, Aromen (Milch), Zucker, Sauerrahmpulver (Milch), Modifizierte Maisstärke, Süßmolkenpulver (Milch), Glucosesirup, Säuerungsmittel, Citronensäure, Milchsäure, Äpfelsäure, Milcheiweiß, Maltodextrin, Emulgator (E471), Salz, Farbstof (Annato, Norbixin)",517.0,6.3,29.0,56.0
Belvita Brut & 5 céréales complètes,"Céréales 69,5 % [céréales complètes 42,4 % (flocons de seigle 17,5 %, flocons d'avoine 15,3 %, gruau d'avoine 6,7 %, farine complète d'épeautre (blé) 1 %, farine complète d'orge 1 %, farine complète de blé 0,9 %), farine de blé 27,1 %], sucre, huile de colza, sucre de canne, poudres à lever (carbonates de sodium, carbonates d'ammonium, diphosphates), minéraux (carbonate de de calcium, carbonate de magnésium, fer élémentaire), sel, sirop de sucre inverti, sirop d'orge malté, émulsifiant (lécithines de soja), lait écrémé en poudre. Peut contenir oeuf, fruits à coque.",438.0,7.8,14.0,66.0
Arriba Chocolat noir,"cocoa mass, lean cocoa powder, cocoa butter, sugar,",594.0,12.5,51.1,12.7
Goûter aux raisins,"Farine de blé 59,5%, sucre de canne roux, huile de colza, raisins secs 10%, farine de soja, pâte de raisins 3,3%, fibres de chicorée : fructooligosaccharides, poudres à lever (carbonates de potassium, carbonates d'ammonium), protéines de lait,",434.0,9.4,14.0,64.0
Pringles sour cream,"Kartoffelpüreepulver, pflanzliche Öle (Sonneblume, Mais), Reismehl, _Weizenstärke_, Maismehl, Sauerrahm-Zwiebel-Würzmischung (Geschmackverstärker (Mononatriumglutamat, Dinatriumguanylat, Dinatriuminosinat), Zwiebelpulver, Dextrose, teilweise gehärtetes Sonnenblumenöl, Zucker, Süßmolkenpulver (_Milch_), _Laktose_ (_Milch_), Säuerungsmittel (Citronensäure, Milchsäure, Apfelsäure), Sauerrahmpulver (_Milch_), Aromen (_Milch_), _Milcheiweiß_, Kartoffelstärke, Hefeextrakt), Emulgator (E471), Maltodextrin, Speisesalz, Farbstoff (Anatto)",517.0,6.3,29.0,56.0
Granola L'original Gros éclats de chocolat,"Farine de blé 34 %, chocolat 33 % [sucre, pâte de cacao, graisses végétales (palme et karité en proportions variables), dextrose, beurre de cacao, émulsifiant (lécithines de soja)], huile de palme, sucre, poudres à lever (carbonates d'ammonium, carbonates de sodium, diphosphates), sel, colorant (carotènes), arôme, lait écrémé en poudre.",503.0,5.7,26.0,60.0
Toblerone,"sugar, whole milk powder, cocoa butter, cocoa mass, honey (3%), milk fat, almonds (1,6%), emulsifier (soya lecithin), egg white, flavouring, cocoa solids 28% minimum, milk solids 14% minimum,",528.0,5.6,28.0,61.0
Organic Milk Chocolate,"cane sugar #, whole milk powder #, cocoa mass #, cocoa butter #, emulsifier (soya lecithins #), vanilla extract #, # ,certified organic, may contain nuts, organic milk chocolate: minimum cocoa solids 37 %, minimum milk solids 24 %,",561.0,9.8,36.0,48.0
Noir Extra,"coconut 48%, sugar, cocoa paste, cocoa butter, lean cocoa powder, emulsifier (soy lecithin), flavouring, skimmed milk powder, cocoa: 47% minimum, may contain wheat, barley and nuts",508.0,4.9,28.0,55.0
Le cookie Chocolat Noisette,"Sucre roux de canne*, 
Farine de blé* 19%, 
Pépites de chocolat noir* 17% (sucre de canne*, pâte de cacao*, beurre de cacao*), 
Farine complète de blé* 15%, 
Huile de colza*, 
Noisettes* 7,7%, 
Fibres d'acacia*, 
Amidon de blé*, 
Poudre de lait* écrémé, 
Œuf* entier en poudre, 
Poudre à lever: carbonates d'ammonium, 
Émulsifiant : lécithines* (soja), 
Sel marin. 
Peut contenir des traces d'autres fruits à coque et de graines de sésame. *Ingrédients biologiques.",496.0,7.4,26.0,55.0
Tonik,"Farine de blé, Sucre, Huile végétale hydrogénée (plame), Cacao maigre en poudre, Émulsifiant d Soja' cactoserum en poudre. Poudre à lever (Bicarbonate de sodium), Arôme artificel (vanille), sel. CONTIENT: BLE, GLUTEN, SOJA, LAIT",503.0,4.8,23.0,70.0
Tartines céréales 450g,"Farine de BLÉ *50 %, eau, huile de colza, graines de tournesol décortiquées 4,6 %, graines de millet décortiquées 1,8 %, graines de lin brun 1,8%, semoule de BLÉ dur 1,6 %, levains de BLÉ dévitalisés, sel, arôme naturel (contient alcool), graines de pavot bleu 0,7 %, flocons d'AVOINE 0,7 %, levure, vinaigre, graines de quinoa 0,4 %, graines d'amarante 0,4%, conservateur : propionate de calcium, levure désactivée, farine de BLÉ d'épeautre 0,3 %, GLUTEN DE BLÉ , farine de SEIGLE 0,2%, farine d'ORGE maltée torréfiée 0,1%, farine de BLÉ malté torréfié 0,1%, antioxydant : acide ascorbique. Traces éventuelles d'œufs, soja, lait, moutarde et graines de sésame. * Ingrédient issu du commerce équitable français.",298.0,10.0,10.0,39.0
Galettes au bon beurre,"Farine de blé 66%, sucre, beurre 18%, œufs, arôme naturel, sel, poudres à lever : carbonates d'ammonium, carbonates de sodium, lait écrémé en poudre.",470.0,7.4,16.0,73.0
Petit brun extra,"Farine de _BLÉ_ 70%, sucre, huile de palme, sirop de glucose-fructose, poudres à lever (carbonates d'ammonium, carbonates de sodium, diphosphates), sel, correcteur d'acidité (acide citrique), arôme.
PEUT CONTENIR OEUF, LAIT, SÉSAME.",441.0,7.2,12.0,74.0
Goûter aux écorces confites,"Farine de blé 62,6%, sucre de canne roux, huile de colza, farine de soja, écorces d'orange confites 5,3% (écorces d'orange, sirop de glucose-fructose, sucre, acidifiant : acide citrique), écorces de citron confites 5,3% (écorces de citron, sirop de glucose-fructose, sucre, acidifiant : acide citrique), fibres de chicorée : fructooligosaccharides, protéines de lait, arôme naturel de mandarine, poudre à lever: carbonates d'ammonium",445.0,9.5,15.0,65.0
Шоколад с 6% парченца малини,"Какаова маса, захар, какаово масло, глюкозо-фруктозен сироп, оризово брашно, 0,5% концентрат от малиново пюре, емулгатор: лецитин (соев); палмова мазнина, естествен ароматизант, оризово нишесте, сгъстител: пектини; киселина: лимонена киселина; екстракт от ванилия, оцветяващ концентрат от сок от черен морков. Може да съдържа следи от ядки и мляко.",552.0,8.0,39.2,36.0
Milka Tablette Noisette,"Sucre, NOISETTES (20%), beurre de cacao, pâte de cacao, LAIT écrémé en poudre, lactosérum en poudre (de LAIT), BEURRE concentré, émulsifiant (lécithines de SOJA), pâte de NOISETTE, arôme.",563.0,8.2,37.0,47.0
"Gerblé - Sugar Free Coconut Cookie, 132g (4.7oz)","Farine de blé 58,1%, édulcorant: maltitols d'origine végétale, huile de colza, amidon de blé, fibre de blé, arômes naturels, émulsifiant : lecithines, poudres à lever (acide citrique, carbonates d'ammonium), sel de mer.",427.2,6.2,15.0,72.0
Biscuits petit déjeuner moelleux aux pépites de chocolat,"Céréales 43,9 % farine de blé 25 %, céréales complètes 16,8 % (sarrasin complet concassé 6,5 %, gruau d'avoine 6,5 %, farine complète d'orge 1 %, farine complète d'épeautre (blé) 1 %, flocons d'avoine 1 %, farine complète de blé 0,8 %), farine de riz 2%, farine de blé malté 0,1 %), pépites de chocolat 11 % [pate de cacao, sucre, émulsifiant (lécithines de sojall huile de colza, sucre, amidon modifié, humectant (glycérol, inuline, isomaltulose****, agent de charge (maltitol), minéraux (carbonate de calcium, carbonate de magnésium, fer élémentaire), émulsifiants (lécithines de soja, E472b, E475), sirop de glucose, sel, poudre à lever (carbonates de sodium), lait écrémé en poudre, gluten de blé, dextrose, arômes. **** lisomaltulose est une source de glucose et de fructose.",200.0,2.9,7.2,30.0
Ferrero Rocher,"milk chocolate (sugar, cocoa butter, skimmed milk powder, butter consented, emulsifier: lecithin [soy], vanillin), hazelnuts, sugar, palm oil, wheat flour, whey powder, lean cocoa, emulsifiers: lecithins [soy],baking powder: sodium acid carbonate, salt, vanillin,",603.0,8.2,42.7,44.4
NOIR DEGUSTATION 70% CARAMEL,"Pâte de cacao, sucre, beurre de cacao, sirop de glucose, beurre concentré (lait), émulsifiant : lécithines (tournesol), arôme naturel, sel, extrait de vanille, Chocolat noir : cacao : 70 % minimum,",544.0,7.2,36.8,41.6
La Madeleine Pur beurre,"_beurre_ 26%, _oeufs_ frais 25%, farine de _blé_ tendre, sucre, sirop de sucre inverti, _amandes_ en poudre. arôme naturel de vanille (contient alcool) et arôme naturel. poudres à lever : carbonates de sodium et citrate de sodium (_blé_), sel,",447.0,6.6,26.0,46.0
Blueberry Muffin,"dates 58%, cashews 15%, raisins 15%, almonds 10%, blueberries 2%, natural flavouring",374.0,6.57,11.1,57.1
Benco Original,"Sucre, cocoo fortement dégraissé 21,4%, sel, arôme, vitamine B1",180.0,2.29,1.1,38.1
Pelotazos futebolas,"Semoule de mais (73%), huile de maïs, saveur fromage lactose (a partir de la poudre de lactosérum (a partir de lait), poudre de fromage (à partir de lait, préparations aromatisantes et substances aromatisantes, exhausteurs de gout (glutamate monosodique, inosinate disodique et guanylate disodique), chlorure de potassium, arôme de fumée] sucre, sel, colorants (concentré de légumes, extrait de paprika)",520.0,5.4,27.8,61.4
Apple & Raisin Oat Bars,"Gluten Free Oats (44%), Rice Syrup, Coconut Oil, Raisins (8%), Coconut Sugar, Rapeseed Oil, Dried Apple Pieces (5%), Cinnamon (Cassia).",426.0,5.6,17.4,59.2
"Crunchy Oats and Dark chocolate, 2 Barres de 21 g","Avoine complète (56%), sucre, huiles végétales (tournesol, colza en proportions variables), pépites de chocolat noir (7%) (pâte de cacao, sucre, émulsifiant (lécithines (soja)), arôme naturel de vanille), cacao maigre en poudre, miel, sel de cuisine, mélasse, émulsifiant (lécithines), poudre à lever (bicarbonate de sodium), arôme naturel.",476.0,7.14,19.0,69.0
Nutri+ avoine complet,"Flocons d'avoine* 40% , Farine de blé* , Sucre de canne* non raffiné ,Huile de colza* , Billettes de riz* soufflé (farine de riz*, sel) , Fibres d'acacia*, Miel* , Poudre à lever: carbonates d'ammonium, Jaune d'œuf* en poudre ,Sel marin ,Antioxydant: extraits de romarin* Peut contenir des traces de lait, de fruits à coque, de graines de sésame et de soja. *Ingrédients biologiques.",442.0,9.1,15.0,64.0
Gingembre saveur citron 🍋,"Farine de _blé_ 71,5 % , sucre de canne, huile de tournesol oléique, son de blé, poudres à lever (acide citrique, carbonates de sodium), huile essentielle de citron, gingembre en poudre, sel de mer, *Ingrédients issus de l'agriculture biologique, Fabriqué dans un atelier qui utilise des _fruits à coque_, du _lupin_, des _oeufs_, du _lait_, du _sésame_ et du _soja_,",456.0,8.3,16.0,67.0
Kinder Country,"Zucker, pflanzliche Fette (Palm, Shea), pâte lait écrémé (37%) Haselnüsse (13,1 %), Glukosesirup, Magermilchpulver Ingrédients: sucre, grais - (8,1%), Milchzucker, Feuchthaltemittel Sorbitsirup, Kakao - (13,1 %), sirop de glucose butter, kondensierte Magermilch, kondensierte Süßmolke, humectant (sirop de Vollmilchpulver, Sahnepulver, Rohrzuckersirup, Molken - concentré, lactosérum lactosérum, émulsifia erzeugnis, Emulgator Lecithine (Soja), Aromen (enthält crème en poudre, sir - Erdnuss), Buttermilchpulver, Salz. traces d'amandes e arachides), babeurre Kann auch Anteile von Mandel und anderen Nüssen enthalten. Qualitätsgarantie: Toffifee verlässt unser Haus immer frisch und in bester Qualität. Das ist unser Versprechen an Sie. Sollten Sie dennoch einmal Grund zur Beanstandung haben, schicken Sie uns bitte die Packung mit Ware unter Angabe der Einkaufsstätte. Wir leisten Ihnen selbstverständlich Ersatz. 4 014400 932959 id 267153 Vor Wärme schützen! Mindeste Protéger de la chaleur! A conso 01.11.23",561.0,8.6,33.8,54.9
Propercorn Sweet & Salty,"Wholegrain corn (63%), rapeseed oil, demerara sugar, glazing agent (isomalt), sea salt.",465.0,7.6,20.4,56.5
Gocciole classiche pav 500 gr,"Farine de BLÉ, sucre, chocolat 14,6%* (sucre, pâte de cacao, beurre de cacao, cacao maigre, émulsifiant : lécithine de SOJA), huile de tournesol, BEURRE, sirop de glucose, amidon de BLÉ, poudres à lever (carbonate acide de sodium, carbonate acide d'ammonium), sel, arôme vanilline. *% exprimé sur le produit fini. Peut contenir des traces de FRUITS À COQUE, MOUTARDE, SÉSAME et OEUFS.",488.0,6.5,22.0,64.0
Protein Caramel salé Cacahuètes,"_cacahuètes_ grillées (38%), extrait de racine de chicorée, protéine isolée de _soja_, _amandes_ 9%, sirop de glucose, matière grasse végétale: palme; lactosérum (_lait_), fructose, maltodextrine, huile de tournesol, amidon de tapioca, humectant: glycérol; sel, caramel en poudre (sucre, _lait_ écrémé en poudre), _lait_ écrémé en poudre, émulsifiants: lécithines de tournesol et de _soja_; arômes naturels",505.0,26.0,30.5,25.0
